param,val,subj_idx,gLen
t,0.0346962716431587,4,1
t,0.08368791632004341,50,6
t,0.09810521428970273,50,1
t,0.065488895402966,51,6
t,0.055582072151373646,51,1
t,0.03302465752254954,52,6
t,0.045494278719139386,52,1
t,0.053499024131070716,53,6
t,0.06320779045299489,53,1
t,0.06126418661988674,54,6
t,0.03994189421549981,54,1
t,0.05365986595431664,55,6
t,0.04676575982390975,55,1
t,0.04592103199505453,57,6
t,0.05021600574507907,57,1
t,0.10758162843000349,58,6
t,0.06441951638639783,58,1
t,0.05713177904710543,59,6
t,0.07832138647367705,59,1
t,0.06226344486839643,60,6
t,0.05506298856880001,60,1
t,0.054429385799325186,61,6
t,0.05564639134624228,61,1
t,0.051170310707887565,62,6
t,0.044544597691902485,62,1
t,0.05287264899143608,63,6
t,0.053718491162891645,63,1
t,0.03224961978693317,64,6
t,0.045544512286079,64,1
t,0.06534027349833764,65,6
t,0.07459154643427908,65,1
t,0.06498566808156604,66,6
t,0.05414953272534974,66,1
t,0.0402571104905166,67,6
t,0.05776678104441236,67,1
t,0.057656883896380816,68,6
t,0.05812957638017272,68,1
t,0.11817019463071372,69,6
t,0.05286870404461714,69,1
t,0.08929037930849336,70,6
t,0.07106645886334027,70,1
t,0.10333623147127119,71,6
t,0.07319721024788156,71,1
t,0.07537538747103893,72,6
t,0.06545231228200325,72,1
t,0.11603658805726466,73,6
t,0.09421916190663031,73,1
t,0.05825304798447871,74,6
t,0.12734963337775185,74,1
t,0.057931005515185235,76,6
t,0.05045755945813143,76,1
t,0.06180250808552575,77,6
t,0.03153743601511224,77,1
t,0.05558056273724165,78,6
t,0.025314335456594343,78,1
t,0.07604473029886548,79,6
t,0.06009511604745938,79,1
t,0.04595677961386904,7,6
t,0.038945309857494025,7,1
t,0.0992877894638929,80,6
t,0.10372557321747339,80,1
t,0.06652494545352351,81,6
t,0.13161928423268973,81,1
t,0.045865154090628704,82,6
t,0.07396402972646654,82,1
t,0.1113484983256363,83,6
t,0.08370214445218858,83,1
t,0.1059227205126494,84,6
t,0.04091301936946555,84,1
t,0.04789727093521593,86,6
t,0.052279109480740216,86,1
t,0.06299943733576127,88,6
t,0.04122156352781481,88,1
t,0.06606372722302646,8,6
t,0.056310476332191245,8,1
t,0.07097819450336305,90,6
t,0.08985188957778674,90,1
