DDM,EXP,val,subj_idx,gLen
thresh,cInfo,-0.03365510007438881,40,1
bias,0,0.1705099562743867,40,1
bias,oDel,-0.011303216824281627,40,1
bias,cInfo,-0.1437858545721614,40,1
drift,0,1.5098215294510073,41,6
drift,oDel,0.0011302009031886908,41,6
drift,cInfo,-0.010516677057079012,41,6
thresh,0,1.2153970700670056,41,6
thresh,oDel,-0.0016761360391743714,41,6
thresh,cInfo,0.024927738650761724,41,6
bias,0,0.18985360674709495,41,6
bias,oDel,-0.011045498057687,41,6
bias,cInfo,-0.10612131717188135,41,6
drift,0,1.563311796729496,41,1
drift,oDel,0.0029082521509941287,41,1
drift,cInfo,0.0705516000486863,41,1
thresh,0,1.1302298382508595,41,1
thresh,oDel,0.0021803939895482637,41,1
thresh,cInfo,0.03633321558874747,41,1
bias,0,0.24472066467105147,41,1
bias,oDel,-1.1555938474695335e-4,41,1
bias,cInfo,-0.17641941792352064,41,1
drift,0,1.5623372287323634,42,6
drift,oDel,0.0012209462289581702,42,6
drift,cInfo,0.2064761177178381,42,6
thresh,0,1.8457307097558466,42,6
thresh,oDel,0.007539876339847802,42,6
thresh,cInfo,0.19993649967900007,42,6
bias,0,0.0770517003696446,42,6
bias,oDel,0.01085776777089386,42,6
bias,cInfo,0.1949073759520519,42,6
drift,0,1.7996101482094249,42,1
drift,oDel,-0.02402192684819981,42,1
drift,cInfo,-0.011257004225135593,42,1
thresh,0,1.7361012086454084,42,1
thresh,oDel,0.021422509181415295,42,1
thresh,cInfo,0.027960309295938558,42,1
bias,0,0.09065013621706708,42,1
bias,oDel,0.039548097692222006,42,1
bias,cInfo,0.020398016554371217,42,1
drift,0,1.513115896589089,43,6
drift,oDel,-0.004664480032044141,43,6
drift,cInfo,0.08270038979924756,43,6
thresh,0,1.2786369511309,43,6
thresh,oDel,0.010148916564354345,43,6
thresh,cInfo,-0.09592937755036089,43,6
bias,0,0.21361899144911256,43,6
bias,oDel,0.016019555282162576,43,6
bias,cInfo,-0.08836045622172643,43,6
drift,0,1.5547930954007418,43,1
drift,oDel,0.0034729262171816757,43,1
drift,cInfo,-7.080555150773886e-4,43,1
thresh,0,1.4274332882140157,43,1
thresh,oDel,-0.02490138818916453,43,1
thresh,cInfo,0.1894547455834103,43,1
bias,0,0.22348583905437092,43,1
bias,oDel,-0.05007344320114277,43,1
bias,cInfo,0.23371543411440204,43,1
drift,0,1.3795267813875276,45,6
drift,oDel,-0.002931611440235784,45,6
drift,cInfo,-0.10153124355684703,45,6
thresh,0,1.3968634268379112,45,6
thresh,oDel,-0.00243842389091854,45,6
thresh,cInfo,0.002338198534839625,45,6
bias,0,0.17643688498556132,45,6
bias,oDel,0.005592063183116664,45,6
bias,cInfo,0.067113472115695,45,6
drift,0,1.5052469703627451,45,1
drift,oDel,-0.007269128035419635,45,1
drift,cInfo,-0.2876130130820127,45,1
thresh,0,1.5296351329641582,45,1
thresh,oDel,0.012550649355260976,45,1
thresh,cInfo,0.09774539009722234,45,1
bias,0,0.18948281814919032,45,1
bias,oDel,0.017745170407750286,45,1
bias,cInfo,0.1135573210734808,45,1
drift,0,2.125257920006976,46,6
drift,oDel,-0.0071090327712970795,46,6
drift,cInfo,-0.4325438697048949,46,6
thresh,0,1.1380957868342876,46,6
thresh,oDel,-0.001802564025078057,46,6
thresh,cInfo,-0.005397643421275038,46,6
bias,0,0.1165770907186432,46,6
bias,oDel,0.00956389612304419,46,6
bias,cInfo,0.44324536294065847,46,6
drift,0,1.5953091002686672,46,1
drift,oDel,0.0015005532712008421,46,1
drift,cInfo,-0.012218607321067826,46,1
thresh,0,1.4090117469929824,46,1
thresh,oDel,0.00956293546351783,46,1
thresh,cInfo,-0.09717384695686551,46,1
bias,0,0.24459697550104353,46,1
bias,oDel,0.016201748656211237,46,1
bias,cInfo,0.08741963087749938,46,1
drift,0,1.469883051426688,48,6
drift,oDel,0.002822938905691858,48,6
drift,cInfo,-0.11754438872965571,48,6
thresh,0,1.3450254285041976,48,6
thresh,oDel,0.0026377960008382917,48,6
thresh,cInfo,0.08105479491399195,48,6
bias,0,0.16238533824458545,48,6
bias,oDel,-0.006373964821495382,48,6
bias,cInfo,0.019667203325273094,48,6
drift,0,1.4371762423829149,48,1
drift,oDel,5.132553192959667e-4,48,1
drift,cInfo,-0.053189349483751126,48,1
thresh,0,1.207325243917664,48,1
thresh,oDel,0.0016441656815153383,48,1
thresh,cInfo,0.04400697038969164,48,1
bias,0,0.2176449984115978,48,1
bias,oDel,-0.0061098041452511435,48,1
bias,cInfo,0.00778020901766141,48,1
drift,0,1.6729412220933082,49,6
drift,oDel,-7.480436123719565e-4,49,6
drift,cInfo,-0.2258636017070643,49,6
thresh,0,1.320586973551764,49,6
thresh,oDel,-3.196196100028344e-4,49,6
thresh,cInfo,-0.06200221714234456,49,6
bias,0,0.13890033814710456,49,6
bias,oDel,-0.006771223505780578,49,6
bias,cInfo,0.1974380785695394,49,6
drift,0,1.842155434524484,49,1
drift,oDel,-0.009485433931783221,49,1
drift,cInfo,-0.09275086530758242,49,1
thresh,0,1.3174600240021226,49,1
thresh,oDel,0.013128821607559635,49,1
thresh,cInfo,0.03756423166834577,49,1
bias,0,0.18970185754136393,49,1
bias,oDel,0.035858917394720705,49,1
bias,cInfo,0.07384607976515317,49,1
drift,0,1.5717805359846828,50,6
drift,oDel,-0.005263330877408889,50,6
drift,cInfo,0.10483323488082272,50,6
thresh,0,1.2645205232677472,50,6
thresh,oDel,-0.0016636747101305381,50,6
thresh,cInfo,-0.05545945753482761,50,6
bias,0,0.17393631358407335,50,6
bias,oDel,0.0085601574629377,50,6
bias,cInfo,0.027076315504111763,50,6
drift,0,1.7786222808306602,50,1
drift,oDel,-0.012092274943767006,50,1
drift,cInfo,-0.04330194809421977,50,1
thresh,0,1.4797959624317207,50,1
thresh,oDel,-0.02292689858136345,50,1
thresh,cInfo,-0.18219587108304938,50,1
bias,0,0.14679754645322496,50,1
bias,oDel,-0.02922998475106984,50,1
bias,cInfo,-0.30293837201384505,50,1
drift,0,2.009977604727358,51,6
drift,oDel,0.010830827175154658,51,6
drift,cInfo,-0.4447526279628755,51,6
thresh,0,0.9206231737417806,51,6
thresh,oDel,0.002101110862385987,51,6
thresh,cInfo,0.13885955735497618,51,6
bias,0,0.2288715324272289,51,6
bias,oDel,0.0021294357013436306,51,6
bias,cInfo,0.23693859811834495,51,6
drift,0,1.9421797506638057,51,1
drift,oDel,-0.012493434045784877,51,1
drift,cInfo,0.14948097839374971,51,1
