Subject,Horizon,dR,dI,rt,x0,z,A,T0
1,1,47.66666667,-1,1.81,0.169963589,1.005990616,0.915458136,0.016273834
1,6,-20.33333333,1,0.39,0.024925765,0.732612937,-0.835385925,0.064435515
1,6,-12.5,0,0.14,-0.071448596,0.665451693,-0.32908457,0.064435515
1,6,18,0,0.53,-0.037723295,0.626061276,0.160688825,0.064435515
1,1,-35.33333333,1,0.1,-0.161418419,0.640428503,-0.775671582,0.016273834
1,6,-28,-1,0.13,-0.191556443,0.628425195,-0.197473244,0.064435515
1,6,-0.666666667,-1,0.65,-0.162190338,0.593124493,0.241449361,0.064435515
1,1,-0.5,0,0.5,-0.028395683,0.804380424,-0.057773643,0.016273834
1,1,24,1,2.2,0.128334909,0.808007805,0.36056401,0.016273834
1,6,10,0,0.4,-0.046580741,0.636393188,0.032223672,0.064435515
1,6,18,0,0.17,-0.037723295,0.626061276,0.160688825,0.064435515
1,1,-19.5,0,1.89,-0.121273627,0.75071739,-0.421624367,0.016273834
1,6,-3,-1,1.49,-0.164709232,0.596137968,0.203980358,0.064435515
1,1,14,0,2.61,0.042902809,0.845333793,0.219901909,0.016273834
1,1,7,1,0.17,0.045384125,0.759993511,0.035013363,0.016273834
1,1,14.33333333,1,0.33,0.081311607,0.780705559,0.175446975,0.016273834
1,6,-3,0,0.22,-0.060957867,0.653182547,-0.176532201,0.064435515
1,1,-32.5,0,0.28,-0.183716897,0.714000576,-0.670574862,0.016273834
1,6,19.66666667,1,0.18,0.069186572,0.680953373,-0.193060161,0.064435515
1,1,-1.666666667,1,0.78,0.002779811,0.735515635,-0.130953634,0.016273834
1,1,-20,1,0.85,-0.087188728,0.683735514,-0.482037665,0.016273834
1,6,-1,0,0.19,-0.058747497,0.650599569,-0.144415913,0.064435515
1,1,31.5,0,0.99,0.128308923,0.894760273,0.555027575,0.016273834
1,1,-22.33333333,-1,0.1,-0.171036813,0.808284698,-0.425044529,0.016273834
1,6,14,0,0.29,-0.042152846,0.631227232,0.096456248,0.064435515
1,1,17.5,0,1.32,0.060074919,0.855219089,0.286927042,0.016273834
1,1,0.333333333,-1,0.68,-0.061149892,0.872303757,0.009023001,0.016273834
1,6,13.5,0,0.62,-0.042706427,0.631872977,0.088427176,0.064435515
1,1,-5,0,1,-0.050497995,0.791670758,-0.143948815,0.016273834
1,6,-1.666666667,-1,0.14,-0.163270124,0.594415982,0.225391217,0.064435515
1,6,12.5,0,0.3,-0.04381351,0.633164466,0.072369032,0.064435515
1,1,12,-1,0.24,-0.003832314,0.905254743,0.232440112,0.016273834
